OBJECTID;N_DEPTO;Y;X;id_unico
319;Santa Cruz;-20,024500137;-63,141585314;39935864,7
320;Santa Cruz;-20,242706311;-63,106443144;38951551,6
322;Santa Cruz;-20,258823089;-63,151781378;38784634,5
324;Santa Cruz;-19,970543296;-62,991299316;40491485,3
325;Santa Cruz;-20,00842034;-63,279764277;39747735,7
326;Santa Cruz;-20,097115053;-63,419002793;39041710
327;Santa Cruz;-20,021190381;-63,157535037;39921148,6
328;Santa Cruz;-19,991056508;-63,137291099;40108261,6
329;Santa Cruz;-19,982572667;-63,093072176;40235446,5
330;Santa Cruz;-20,007976678;-63,18585911;39931184,8
331;Santa Cruz;-17,262648485;-63,068137879;55754711,8
332;Santa Cruz;-17,152853488;-63,011735667;56528037,3
333;Santa Cruz;-17,279227247;-63,004825226;55722002
334;Santa Cruz;-17,373151418;-62,989590745;55140890,1
335;Santa Cruz;-17,167863238;-62,983402133;56463147,7
336;Santa Cruz;-17,170766228;-63,016771734;56406415,5
337;Santa Cruz;-17,364776665;-63,04328941;55129659,3
338;Santa Cruz;-20,002165921;-63,177642783;39975641,6
339;Santa Cruz;-19,495676462;-63,671735774;41660224,7
340;Santa Cruz;-19,618756008;-63,651563894;41042515,6
342;Santa Cruz;-19,468365103;-63,652114564;41841061,6
343;Santa Cruz;-19,474684524;-63,677323314;41762884,9
344;Santa Cruz;-19,575821428;-63,633990718;41300748,5
345;Santa Cruz;-19,622563343;-63,618185496;41082564,1
353;Santa Cruz;-19,507066091;-63,672674914;41597656
354;Santa Cruz;-19,503566945;-63,630589944;41690712,1
355;Santa Cruz;-19,520549938;-63,668438254;41533142,1
356;Santa Cruz;-19,526619884;-63,672990642;41492707,1
357;Santa Cruz;-19,50555387;-63,638802618;41665584,4
358;Santa Cruz;-19,537054623;-63,670723754;41441117,2
359;Santa Cruz;-19,650723516;-63,673778244;40834263,6
360;Santa Cruz;-19,578832096;-63,671642089;41217530,8
361;Santa Cruz;-19,560406631;-63,676432368;41306762,6
369;Santa Cruz;-19,808659128;-63,660068575;40037279,5
370;Santa Cruz;-19,930438146;-63,658954731;39416397,7
377;Santa Cruz;-19,977539365;-63,682184071;39134057,7
378;Santa Cruz;-20,103732968;-63,658124867;38547572,5
379;Santa Cruz;-20,03043454;-63,610008946;39005105,6
381;Santa Cruz;-19,988956722;-63,697971527;39046550,3
382;Santa Cruz;-19,99747102;-63,639402274;39114546
384;Santa Cruz;-20,070334459;-63,637580889;38753176,5
385;Santa Cruz;-20,061591107;-63,641633053;38789027,3
386;Santa Cruz;-19,999322537;-63,693733673;39002256,8
389;Santa Cruz;-19,864692339;-63,543699895;39966741,3
