c_manz,lat,long,id_unico
0041760370,-16.3129897753,-68.0812393044,628190686-A
0041770370,-16.3209793583,-68.0850184452,627494861-A
0131209010,-16.2736403405,-68.0739032451,631803064-A
0041779040,-16.3224152681,-68.082662494,627320588-A
0212158120,-16.3247567118,-68.0549708973,626653872-A
0212158110,-16.3246146835,-68.0550384634,626668378-A
0212158100,-16.3244986028,-68.0551522097,626681167-A
0212158090,-16.3243846985,-68.0552653833,626693742-A
0212158080,-16.3242780196,-68.055400322,626705981-A
0212158070,-16.3241291043,-68.0551442541,626715977-A
0213918060,-16.3240192695,-68.054450905,626715304-A
0212158050,-16.3231712478,-68.0557365528,626815998-A
0212158040,-16.3230997594,-68.0558121649,626823965-A
0212158030,-16.3236610626,-68.0611099053,626855560-A
0212100050,-16.3143293846,-68.0600468273,627721412-A
0212090030,-16.3136171692,-68.0546815178,627702748-A
0212100030,-16.3146770033,-68.0557785056,627620059-A
0212090020,-16.3136643931,-68.0548350071,627700739-A
0212100020,-16.3142174716,-68.0556399999,627661313-A
0060260050,-16.2954311212,-68.0819339124,629867044-A
0150850050,-16.295548807,-68.065115888,629581668-A
0150860070,-16.3007117614,-68.0648412771,629088060-A
0150890070,-16.3003258298,-68.0634287291,629101750-A
0183321050,-16.3113271869,-68.0340910697,627591113-A
0150840030,-16.2944313776,-68.0638710729,629667348-A
0041780300,-16.3154653195,-68.0817121925,627963744-A
0083450010,-16.2937166064,-68.0918642421,630192910-A
0080070010,-16.2932718591,-68.0913996092,630227481-A
0080080010,-16.2939685972,-68.0914413604,630162018-A
0041780180,-16.3141186697,-68.0813001781,628084680-A
0150878000,-16.3010305342,-68.0637208789,629039727-A
0062550040,-16.3026340926,-68.0807415684,629164350-A
0060340090,-16.3027325101,-68.080593252,629152597-A
0150870150,-16.3005743338,-68.063901641,629085865-A
0150880170,-16.3020545266,-68.0643924745,628953601-A
0060340060,-16.3021051437,-68.0807902309,629215304-A
0060340040,-16.3018621045,-68.0809483935,629240934-A
0060260060,-16.29572587,-68.0822116969,629843630-A
0060340010,-16.3015220996,-68.081101153,629275673-A
0062480130,-16.301766826,-68.081712402,629262447-A
0041760030,-16.3119062744,-68.0814135925,628296219-A
0060350030,-16.3011591934,-68.0758276443,629224078-A
0060350020,-16.3010919464,-68.07557699,629226371-A
0200920140,-16.3411641518,-68.0522231807,625059780-A
0041750220,-16.3131694209,-68.0836927149,628213561-A
0060350040,-16.3013441369,-68.0801034665,629276260-A
0060350150,-16.3015565676,-68.075607361,629182820-A
0060350050,-16.3015170963,-68.0803369231,629263669-A
0060270080,-16.3010829791,-68.080934423,629314594-A
0060270100,-16.3006104316,-68.0804373095,629351290-A
0060270120,-16.3008595618,-68.0802019933,629323822-A
0183750030,-16.3116150416,-68.0451288453,627739416-A
0200910480,-16.3348510033,-68.0556286608,625710180-A
0140760020,-16.2914073194,-68.070569361,630062940-A
0051050100,-16.3023128848,-68.0847081459,629259622-A
0182389000,-16.3134576255,-68.0316278678,627350870-A
0060270031,-16.3004107349,-68.0809832985,629379148-A
0183988270,-16.3028682486,-68.0500257863,628645048-A
0183958240,-16.3025323146,-68.04509801,628597841-A
0043671011,-16.3215201262,-68.07502193,627281811-A
0060270020,-16.3005311308,-68.0812806629,629372588-A
0213920380,-16.3211845141,-68.0539198671,626974865-A
0121970450,-16.284135857,-68.0748214902,630822127-A
0060270010,-16.3003389702,-68.0814699557,629393906-A
0140780430,-16.2933459483,-68.0650257559,629788951-A
0060270030,-16.3001972735,-68.0810244322,629400065-A
0212160120,-16.3216610191,-68.0533816896,626921222-A
0182368070,-16.3021865713,-68.0336533086,628447874-A
0062860140,-16.2956186615,-68.0812569732,629838167-A
0062490120,-16.3009841277,-68.0820255588,629341796-A
0121931170,-16.2827480207,-68.075133727,630958928-A
0041710040,-16.3052775778,-68.0815514894,628926896-A
0062490130,-16.3011974732,-68.0818756685,629319112-A
0183321040,-16.3111115224,-68.034493776,627617872-A
0121470400,-16.2911474481,-68.0744208719,630150457-A
0121470120,-16.2857712769,-68.0747348701,630665550-A
0140750560,-16.291827829,-68.0639129863,629914741-A
0062490020,-16.3002139678,-68.081867647,629412262-A
0212060120,-16.3102867702,-68.0622531462,628139526-A
0041680010,-16.3028930512,-68.0827674394,629172870-A
0142970380,-16.2915663179,-68.0650529436,629958051-A
0140730220,-16.2843542876,-68.0640804092,630625847-A
0182360670,-16.3029585767,-68.0254784297,628245169-A
0182400660,-16.3215204511,-68.0450886038,626802516-A
0140730250,-16.2842098028,-68.0644459067,630645502-A
0140730010,-16.2841786019,-68.0650482465,630658281-A
0140758060,-16.2904446286,-68.0628832248,630029093-A
0143171020,-16.2837863465,-68.0629228523,630660827-A
0143170920,-16.2835990161,-68.0637406964,630691913-A
0212130450,-16.3129842347,-68.0656378739,627938688-A
0140720250,-16.2802875878,-68.0623284539,630982838-A
0142970330,-16.2911552958,-68.0647559863,629992178-A
0212150492,-16.3237950705,-68.055642804,626755515-A
0060260010,-16.2949913323,-68.0812918508,629898251-A
0171660640,-16.3025027277,-68.0600944006,628841697-A
0213870350,-16.3124988784,-68.0629084491,627940672-A
0212050130,-16.3108012821,-68.0634356933,628109868-A
0173210020,-16.3030623216,-68.0553912655,628712916-A
0121950130,-16.2823383983,-68.071605905,630939966-A
0173100010,-16.3038111085,-68.0623640189,628754445-A
0171650210,-16.3041482653,-68.0608819804,628698594-A
0171660460,-16.3024763373,-68.053969038,628745496-A
0182330200,-16.3057115079,-68.052430901,628414619-A
0182380190,-16.313302005,-68.0347304497,627414688-A
0171610500,-16.3028070074,-68.0622540761,628847758-A
0212140340,-16.3158909311,-68.0623379244,627610439-A
0193370010,-16.3223702627,-68.0242183783,626392796-A
0171668030,-16.3022205627,-68.0530179826,628754408-A
0212120060,-16.310842304,-68.0619114389,628081434-A
0192298130,-16.3254099803,-68.0223957721,626077466-A
0043580290,-16.3055864013,-68.084075869,628938807-A
0171670430,-16.2954565287,-68.0519966643,629378222-A
0212100110,-16.3148197173,-68.060014894,627674499-A
0192258010,-16.3203438561,-68.0304219296,626681607-A
0111320100,-16.2806397386,-68.090154948,631406619-A
0192260860,-16.315488285,-68.0241818278,627041657-A
0192300680,-16.3303713118,-68.0313555082,625749888-A
0163190460,-16.2910060558,-68.0541260378,629833992-A
0132708171,-16.2654140471,-68.0518130494,632221484-A
0193370641,-16.3237386941,-68.0246427377,626270344-A
0161560021,-16.295027173,-68.0602123654,629551597-A
0132709120,-16.2605598579,-68.0441448724,632556658-A
0193430540,-16.3245537272,-68.0445009953,626506588-A
0192180520,-16.3303024843,-68.0525039325,626090395-A
0193960430,-16.3249054877,-68.044495453,626473267-A
0161550320,-16.301236303,-68.0619348274,628991352-A
0131150111,-16.2732147164,-68.062168809,631650937-A
0193370350,-16.3228884532,-68.0245595489,626349258-A
0133030260,-16.2741145891,-68.0625262497,631571435-A
0193260290,-16.3235439295,-68.0413259119,626551675-A
0194000290,-16.3223845788,-68.0430156402,626687972-A
0163360970,-16.2953148497,-68.055175685,629446000-A
0132830450,-16.2752544432,-68.063247555,631475124-A
0193970260,-16.322568224,-68.0205042659,626315895-A
0163360420,-16.2933510178,-68.0557480788,629638133-A
0163360490,-16.2927269107,-68.0550845798,629686514-A
0193420261,-16.3203631058,-68.0157601292,626449637-A
0193260260,-16.323020101,-68.0411636606,626598587-A
0161570160,-16.2925457971,-68.0607200287,629794892-A
0161588090,-16.2850743256,-68.0447429883,630244169-A
0161588040,-16.2838616193,-68.042365135,630320646-A
0161580840,-16.2920225095,-68.0520922446,629704887-A
0163190380,-16.2914632653,-68.0559717332,629820538-A
0163190720,-16.2919687475,-68.0547693229,629753220-A
0131180050,-16.275157219,-68.0657794727,631525775-A
0161589080,-16.2908406059,-68.0524171502,629822047-A
0161588370,-16.2920547414,-68.0531539048,629718976-A
0161588270,-16.2903285234,-68.0528392518,629877359-A
0163200090,-16.3016003445,-68.060206471,628928954-A
0161540140,-16.3001193394,-68.0609196956,629080728-A
0163200290,-16.3022664748,-68.0604132103,628869214-A
0163050090,-16.2958879779,-68.0617517734,629494984-A
0173108080,-16.3049768987,-68.0621874702,628641200-A
